Price,Details
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 520,000,000 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 60,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 1,900,000,000 
Sponsored
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 158,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Sponsored
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 140,000,000 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 6,500,000/year 
Sponsored
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 25,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 220,000,000 
Sponsored
","
3 beds
3 baths
4 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 1,750,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 48,000,000 
Sponsored
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 90,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 14,000,000/year 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 1,000,000,000 
Sponsored
","
5 beds
5 baths
5 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 240,000,000 
Sponsored
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 1,000,000,000 
Sponsored
","
5 beds
5 baths
5 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 630,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 550,000,000 
Sponsored
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 170,000,000 
Sponsored
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 47,000,000 
Sponsored
","
3 beds
0 baths
0 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 90,000,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 140,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 70,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 270,000,000 
Sponsored
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 20,000,000 
Premium Gold
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 1,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 80,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 120,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 60,000,000 
Premium Gold
","
4 beds
4 baths
5 Toilets
"
"
 ₦ 40,000,000 
Premium Gold
","
2 beds
2 baths
3 Toilets
"
"
 ₦ 1,000,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 345,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
5 baths
6 Toilets
"
"
 ₦ 18,500,000 
Sponsored
","
0 beds
0 baths
0 Toilets
"
"
 ₦ 62,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 200,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
"
 ₦ 100,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 49,500,000 
Premium Gold
","
2 beds
3 baths
3 Toilets
"
"
 ₦ 45,000,000 
Premium Gold
","
1 beds
2 baths
2 Toilets
"
"
 ₦ 160,000,000 
Premium Gold
","
4 beds
5 baths
5 Toilets
"
"
 ₦ 6,000,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 1,200,000 
Premium Gold
","
 beds
 baths
 Toilets
"
"
 ₦ 250,000,000 
Premium Gold
","
5 beds
6 baths
6 Toilets
"
